client_id,client_name,instrument_id,ticker,open_position,avg_acquisition_cost,current_price,unrealized_pnl,realized_pnl,total_pnl
13,Vantage Capital,7,QUACA3,2900.0,450.1982,709.3516,751544.92,125273.29,876818.2
9,Ridgeline Holdings,4,AMBPL4,28821.0,91.3502,118.7762,790445.47,76955.71,867401.18
9,Ridgeline Holdings,34,NORIN2,19742.0,34.6136,75.7532,812177.77,-11584.0,800593.78
13,Vantage Capital,19,ORBTE0,11954.0,63.754,122.521,702500.86,72045.65,774546.51
18,Brightside Holdings,18,MERGR5,4059.0,413.8471,520.1016,431286.82,311018.19,742305.01
24,Anchor Fund,7,QUACA3,2226.0,494.3694,709.3516,478550.36,206463.05,685013.42
5,Northbridge Fund,6,CYBIN4,7243.0,402.834,437.1502,248551.93,371619.89,620171.82
9,Ridgeline Holdings,20,ATLPA1,17737.0,79.4788,96.8958,308924.55,278731.38,587655.93
9,Ridgeline Holdings,19,ORBTE0,5980.0,65.7746,122.521,339343.65,246850.59,586194.24
9,Ridgeline Holdings,25,FALTE3,28042.0,97.7273,131.4268,945000.28,-395283.77,549716.51
9,Ridgeline Holdings,9,CYBPA2,17020.0,268.2492,275.0435,115638.48,404874.62,520513.1
22,Ridgeline Capital,26,MERIN1,728.0,456.9239,748.737,212439.96,277969.75,490409.71
24,Anchor Fund,18,MERGR5,5487.0,451.4875,520.1016,376485.37,112519.7,489005.07
18,Brightside Holdings,24,CYBMA0,4062.0,138.1901,225.7051,355485.97,120140.95,475626.92
11,Harborview Group,18,MERGR5,3911.0,422.2338,520.1016,382761.09,71748.08,454509.17
8,Silverline Holdings,3,BLUAG3,3614.0,177.0502,278.8114,367764.8,86534.04,454298.85
10,Harborview Holdings,3,BLUAG3,3811.0,172.825,278.8114,403914.1,33763.73,437677.83
11,Harborview Group,26,MERIN1,1488.0,602.6293,748.737,217408.25,215812.3,433220.56
9,Ridgeline Holdings,32,DELIN7,27488.0,58.5571,66.6704,223018.62,206317.36,429335.98
18,Brightside Holdings,35,REDHO9,4927.0,257.7226,335.1019,381247.69,47220.74,428468.43
9,Ridgeline Holdings,17,AURIN2,26465.0,109.4385,120.9125,303658.84,119692.28,423351.12
10,Harborview Holdings,24,CYBMA0,2809.0,115.3232,225.7051,310062.78,94336.33,404399.11
13,Vantage Capital,26,MERIN1,1019.0,459.7528,748.737,294474.95,107049.5,401524.45
11,Harborview Group,7,QUACA3,2219.0,548.8345,709.3516,356187.34,37431.51,393618.85
22,Ridgeline Capital,7,QUACA3,770.0,494.3373,709.3516,165561.01,227104.33,392665.35
7,Meridian Asset Management,24,CYBMA0,3700.0,128.2993,225.7051,360401.37,29303.42,389704.79
10,Harborview Holdings,18,MERGR5,2905.0,440.1303,520.1016,232316.61,155904.97,388221.59
24,Anchor Fund,23,SILIN3,4075.0,130.1358,209.053,321587.59,66615.4,388202.99
10,Harborview Holdings,14,WAVIN2,2970.0,348.6516,385.0886,108217.86,276705.17,384923.03
18,Brightside Holdings,6,CYBIN4,4890.0,393.5279,437.1502,213312.9,169408.74,382721.64
8,Silverline Holdings,18,MERGR5,3621.0,444.4441,520.1016,273955.94,108637.36,382593.3
8,Silverline Holdings,35,REDHO9,3130.0,236.7735,335.1019,307767.95,68284.93,376052.87
8,Silverline Holdings,24,CYBMA0,3776.0,143.1871,225.7051,311588.16,55125.91,366714.07
4,Harborview Partners,7,QUACA3,1554.0,513.4011,709.3516,304507.13,59423.85,363930.98
18,Brightside Holdings,23,SILIN3,2682.0,122.5953,209.053,231879.6,120389.39,352268.99
24,Anchor Fund,3,BLUAG3,3645.0,177.2468,278.8114,370203.03,-23668.35,346534.68
8,Silverline Holdings,14,WAVIN2,3241.0,374.9048,385.0886,33005.71,307766.21,340771.92
24,Anchor Fund,24,CYBMA0,3053.0,134.0292,225.7051,279886.47,58689.69,338576.17
13,Vantage Capital,18,MERGR5,2831.0,431.366,520.1016,251210.39,78219.58,329429.97
24,Anchor Fund,35,REDHO9,2436.0,247.3805,335.1019,213689.31,108543.57,322232.88
7,Meridian Asset Management,6,CYBIN4,1109.0,363.4917,437.1502,81687.23,236256.26,317943.48
5,Northbridge Fund,7,QUACA3,1031.0,535.7649,709.3516,178967.86,137503.57,316471.43
4,Harborview Partners,24,CYBMA0,2276.0,123.6737,225.7051,232223.53,82180.73,314404.26
7,Meridian Asset Management,18,MERGR5,1408.0,433.8966,520.1016,121376.62,185794.15,307170.77
9,Ridgeline Holdings,33,RIDPL0,24424.0,33.605,44.4424,264692.88,40561.81,305254.69
2,Vantage Partners,26,MERIN1,1165.0,543.7419,748.737,238819.27,63542.24,302361.5
4,Harborview Partners,18,MERGR5,2093.0,442.2542,520.1016,162934.51,138571.79,301506.31
8,Silverline Holdings,23,SILIN3,1949.0,114.8204,209.053,183659.37,114761.04,298420.41
22,Ridgeline Capital,18,MERGR5,857.0,440.3984,520.1016,68305.66,228162.61,296468.27
24,Anchor Fund,19,ORBTE0,4635.0,62.1435,122.521,279849.92,14740.18,294590.1
11,Harborview Group,6,CYBIN4,2495.0,381.8221,437.1502,138043.72,156264.6,294308.33
13,Vantage Capital,9,CYBPA2,11976.0,265.3865,275.0435,115652.38,178490.41,294142.79
10,Harborview Holdings,19,ORBTE0,4750.0,64.638,122.521,274944.44,10238.36,285182.81
22,Ridgeline Capital,3,BLUAG3,2974.0,180.6095,278.8114,292052.4,-8093.11,283959.29
11,Harborview Group,14,WAVIN2,2343.0,300.7735,385.0886,197550.33,85941.59,283491.92
8,Silverline Holdings,6,CYBIN4,1305.0,390.456,437.1502,60935.97,218040.67,278976.64
24,Anchor Fund,6,CYBIN4,5700.0,410.8864,437.1502,149703.4,124784.52,274487.92
22,Ridgeline Capital,35,REDHO9,2748.0,240.7243,335.1019,259349.54,10290.65,269640.18
13,Vantage Capital,6,CYBIN4,2170.0,394.8618,437.1502,91765.91,170508.74,262274.64
13,Vantage Capital,3,BLUAG3,2774.0,184.6951,278.8114,261078.58,-6216.62,254861.96
18,Brightside Holdings,3,BLUAG3,3717.0,189.5025,278.8114,331961.04,-79499.38,252461.66
2,Vantage Partners,7,QUACA3,532.0,435.4439,709.3516,145718.89,97235.42,242954.3
24,Anchor Fund,14,WAVIN2,2413.0,371.7192,385.0886,32260.41,203240.96,235501.37
22,Ridgeline Capital,23,SILIN3,2599.0,126.6035,209.053,214286.36,17081.68,231368.04
11,Harborview Group,24,CYBMA0,1833.0,145.2386,225.7051,147495.15,81693.53,229188.67
13,Vantage Capital,23,SILIN3,1948.0,120.1763,209.053,173131.89,52167.26,225299.15
7,Meridian Asset Management,19,ORBTE0,3588.0,62.1061,122.521,216768.74,7106.1,223874.83
18,Brightside Holdings,34,NORIN2,4816.0,35.5492,75.7532,193622.5,23334.18,216956.68
13,Vantage Capital,24,CYBMA0,1728.0,123.4033,225.7051,176777.5,39264.33,216041.83
8,Silverline Holdings,19,ORBTE0,3040.0,66.3494,122.521,170761.61,42599.88,213361.49
9,Ridgeline Holdings,30,WAVHO2,34235.0,101.3496,106.5888,179364.92,32842.23,212207.15
10,Harborview Holdings,23,SILIN3,1400.0,130.3939,209.053,110122.75,101789.58,211912.32
7,Meridian Asset Management,35,REDHO9,1506.0,239.997,335.1019,143227.92,63403.42,206631.34
13,Vantage Capital,34,NORIN2,4795.0,34.109,75.7532,199683.71,6635.24,206318.95
11,Harborview Group,23,SILIN3,1835.0,119.723,209.053,163920.53,38549.94,202470.47
8,Silverline Holdings,15,SILIN4,4308.0,331.7148,367.2083,152906.01,45631.81,198537.82
5,Northbridge Fund,23,SILIN3,2268.0,132.9795,209.053,172534.61,24587.84,197122.45
22,Ridgeline Capital,19,ORBTE0,3003.0,60.9594,122.521,184869.62,10441.46,195311.08
22,Ridgeline Capital,24,CYBMA0,1221.0,135.3431,225.7051,110332.05,81393.64,191725.68
15,Antoine Silva,7,QUACA3,795.0,521.497,709.3516,149344.38,38926.17,188270.55
11,Harborview Group,19,ORBTE0,3075.0,65.1944,122.521,176279.2,5474.93,181754.13
2,Vantage Partners,21,VERCA7,7640.0,334.6464,372.6011,289974.18,-108523.52,181450.66
10,Harborview Holdings,6,CYBIN4,4302.0,402.2264,437.1502,150242.02,29479.67,179721.69
10,Harborview Holdings,35,REDHO9,1214.0,250.7931,335.1019,102350.87,68966.39,171317.25
19,Giulia Garcia,18,MERGR5,607.0,420.1253,520.1016,60685.59,108679.95,169365.54
11,Harborview Group,35,REDHO9,1760.0,256.5734,335.1019,138210.21,24387.14,162597.35
9,Ridgeline Holdings,16,BLUSA5,21601.0,55.3068,67.3708,260594.71,-99065.72,161528.99
24,Anchor Fund,15,SILIN4,2828.0,336.5599,367.2083,86673.61,74262.88,160936.49
24,Anchor Fund,4,AMBPL4,4937.0,88.5946,118.7762,149006.57,11706.6,160713.18
4,Harborview Partners,35,REDHO9,770.0,231.0271,335.1019,80137.58,71542.52,151680.1
1,Thomas Garcia,24,CYBMA0,1151.0,122.0145,225.7051,119347.87,30754.51,150102.38
18,Brightside Holdings,4,AMBPL4,4252.0,88.8944,118.7762,127057.28,18696.72,145754.01
2,Vantage Partners,35,REDHO9,1157.0,240.6003,335.1019,109338.38,34189.49,143527.86
13,Vantage Capital,35,REDHO9,1148.0,238.9146,335.1019,110423.07,32135.08,142558.15
7,Meridian Asset Management,23,SILIN3,1136.0,133.7651,209.053,85527.02,54398.25,139925.27
2,Vantage Partners,24,CYBMA0,1569.0,145.0156,225.7051,126601.84,10240.76,136842.6
2,Vantage Partners,23,SILIN3,377.0,125.2894,209.053,31578.89,103776.57,135355.46
22,Ridgeline Capital,14,WAVIN2,4361.0,376.6241,385.0886,36913.48,96020.42,132933.9
18,Brightside Holdings,15,SILIN4,4407.0,343.4022,367.2083,104913.5,27851.82,132765.32
10,Harborview Holdings,34,NORIN2,2425.0,32.0877,75.7532,105888.86,25943.83,131832.68
8,Silverline Holdings,21,VERCA7,4330.0,332.0825,372.6011,175445.66,-47382.86,128062.8
4,Harborview Partners,15,SILIN4,3200.0,335.7784,367.2083,100575.82,24663.55,125239.37
10,Harborview Holdings,20,ATLPA1,5901.0,80.9086,96.8958,94340.7,29802.42,124143.12
10,Harborview Holdings,25,FALTE3,5271.0,94.7209,131.4268,193477.01,-70288.36,123188.65
20,Yasmine Novak,26,MERIN1,181.0,430.3467,748.737,57628.65,60879.22,118507.87
4,Harborview Partners,14,WAVIN2,2843.0,385.0149,385.0886,209.42,118084.46,118293.88
18,Brightside Holdings,25,FALTE3,3660.0,95.21,131.4268,132553.59,-15615.32,116938.27
24,Anchor Fund,34,NORIN2,2247.0,36.9217,75.7532,87254.44,27679.38,114933.83
4,Harborview Partners,34,NORIN2,2351.0,30.2248,75.7532,107037.38,3890.17,110927.55
1,Thomas Garcia,14,WAVIN2,1100.0,372.8382,385.0886,13475.48,95040.94,108516.42
12,Camille Costa,26,MERIN1,328.0,545.1483,748.737,66777.1,41560.93,108338.03
5,Northbridge Fund,18,MERGR5,469.0,435.4195,520.1016,39715.88,67385.26,107101.14
18,Brightside Holdings,14,WAVIN2,3336.0,404.3898,385.0886,-64388.67,171419.44,107030.77
23,Sarah Larsen,26,MERIN1,231.0,557.6893,748.737,44132.01,61920.29,106052.3
14,Zoe Costa,7,QUACA3,255.0,427.0385,709.3516,71989.83,33681.25,105671.08
5,Northbridge Fund,3,BLUAG3,1088.0,167.7587,278.8114,120825.31,-15181.38,105643.93
8,Silverline Holdings,4,AMBPL4,3389.0,88.4722,118.7762,102700.13,1973.81,104673.94
11,Harborview Group,3,BLUAG3,832.0,180.8166,278.8114,81531.65,22359.08,103890.73
10,Harborview Holdings,15,SILIN4,538.0,332.7734,367.2083,18525.98,83768.24,102294.22
7,Meridian Asset Management,3,BLUAG3,964.0,173.3841,278.8114,101631.95,110.19,101742.14
5,Northbridge Fund,24,CYBMA0,867.0,133.423,225.7051,80008.58,20107.79,100116.38
7,Meridian Asset Management,15,SILIN4,1865.0,324.8084,367.2083,79075.9,18763.02,97838.92
22,Ridgeline Capital,15,SILIN4,1061.0,320.8668,367.2083,49168.32,47077.7,96246.02
7,Meridian Asset Management,4,AMBPL4,2750.0,87.4281,118.7762,86207.15,9053.82,95260.97
11,Harborview Group,25,FALTE3,2313.0,89.8071,131.4268,96266.48,-1750.71,94515.78
2,Vantage Partners,18,MERGR5,545.0,436.1408,520.1016,45758.66,47736.45,93495.11
1,Thomas Garcia,26,MERIN1,324.0,567.8368,748.737,58611.65,34178.91,92790.57
11,Harborview Group,4,AMBPL4,2352.0,87.4492,118.7762,73681.05,18658.26,92339.31
17,Zoe Muller,23,SILIN3,843.0,126.7632,209.053,69370.28,21356.0,90726.27
15,Antoine Silva,26,MERIN1,125.0,362.9967,748.737,48217.53,41909.61,90127.15
5,Northbridge Fund,14,WAVIN2,1214.0,378.8662,385.0886,7554.03,82184.84,89738.88
24,Anchor Fund,32,DELIN7,4045.0,58.7323,66.6704,32109.79,56176.91,88286.69
4,Harborview Partners,33,RIDPL0,6629.0,33.4732,44.4424,72715.1,12433.61,85148.71
17,Zoe Muller,26,MERIN1,229.0,456.979,748.737,66812.57,17755.79,84568.36
18,Brightside Holdings,21,VERCA7,3295.0,333.9931,372.6011,127213.45,-43889.83,83323.61
4,Harborview Partners,19,ORBTE0,1073.0,68.6552,122.521,57798.05,24466.33,82264.37
2,Vantage Partners,6,CYBIN4,1213.0,391.3297,437.1502,55580.31,24690.44,80270.75
22,Ridgeline Capital,4,AMBPL4,2311.0,87.3628,118.7762,72596.33,6100.18,78696.51
22,Ridgeline Capital,6,CYBIN4,2297.0,423.682,437.1502,30936.52,47530.33,78466.85
24,Anchor Fund,21,VERCA7,3274.0,334.6862,372.6011,124133.31,-46302.24,77831.07
18,Brightside Holdings,20,ATLPA1,2516.0,78.8253,96.8958,45465.42,31237.1,76702.52
8,Silverline Holdings,20,ATLPA1,2349.0,80.9405,96.8958,37479.06,37830.78,75309.84
2,Vantage Partners,25,FALTE3,2042.0,96.083,131.4268,72172.02,2299.89,74471.91
18,Brightside Holdings,19,ORBTE0,930.0,64.2013,122.521,54237.31,20053.55,74290.86
4,Harborview Partners,21,VERCA7,2778.0,335.3181,372.6011,103572.31,-30897.46,72674.85
16,Alice Silva,7,QUACA3,330.0,507.2202,709.3516,66703.35,5528.81,72232.16
24,Anchor Fund,20,ATLPA1,450.0,78.6625,96.8958,8204.99,63885.76,72090.76
13,Vantage Capital,4,AMBPL4,2226.0,88.4252,118.7762,67561.37,3637.5,71198.87
2,Vantage Partners,34,NORIN2,1896.0,40.0502,75.7532,67692.82,2747.68,70440.5
18,Brightside Holdings,32,DELIN7,4144.0,56.1395,66.6704,43639.91,26353.1,69993.0
24,Anchor Fund,9,CYBPA2,3788.0,271.1233,275.0435,14849.62,54644.97,69494.59
25,Hugo Kowalski,26,MERIN1,313.0,536.3,748.737,66492.79,2439.76,68932.55
18,Brightside Holdings,9,CYBPA2,4567.0,267.9404,275.0435,32439.67,36250.49,68690.16
9,Ridgeline Holdings,27,CEDCA1,16056.0,90.4361,92.9752,40767.79,26117.73,66885.52
21,Antoine Martin,26,MERIN1,131.0,380.1659,748.737,48282.81,18410.43,66693.24
23,Sarah Larsen,18,MERGR5,351.0,436.7534,520.1016,29255.23,35106.76,64361.99
8,Silverline Holdings,32,DELIN7,2576.0,54.9788,66.6704,30117.46,32590.5,62707.95
11,Harborview Group,20,ATLPA1,2459.0,80.0608,96.8958,41397.32,20040.77,61438.09
18,Brightside Holdings,17,AURIN2,3603.0,108.5945,120.9125,44381.67,16174.48,60556.15
12,Camille Costa,7,QUACA3,65.0,467.4141,709.3516,15725.93,43901.53,59627.46
5,Northbridge Fund,4,AMBPL4,1660.0,87.7287,118.7762,51538.8,5888.39,57427.18
23,Sarah Larsen,7,QUACA3,300.0,567.1351,709.3516,42664.96,13827.49,56492.45
8,Silverline Holdings,17,AURIN2,3412.0,109.7388,120.9125,38124.65,18012.77,56137.42
19,Giulia Garcia,26,MERIN1,63.0,531.7217,748.737,13671.96,41468.88,55140.85
24,Anchor Fund,17,AURIN2,3253.0,109.5364,120.9125,37006.53,17280.19,54286.72
2,Vantage Partners,19,ORBTE0,1531.0,87.8893,122.521,53021.19,988.9,54010.09
7,Meridian Asset Management,9,CYBPA2,1170.0,263.9212,275.0435,13013.08,40429.35,53442.43
2,Vantage Partners,3,BLUAG3,772.0,182.7358,278.8114,74170.35,-20983.59,53186.76
4,Harborview Partners,4,AMBPL4,1849.0,91.788,118.7762,49901.09,2804.73,52705.82
23,Sarah Larsen,24,CYBMA0,524.0,143.1795,225.7051,43243.41,8947.52,52190.93
10,Harborview Holdings,4,AMBPL4,517.0,87.5019,118.7762,16168.8,35189.4,51358.2
10,Harborview Holdings,39,PIOIN4,5264.0,93.5789,112.7574,100955.78,-50408.61,50547.18
5,Northbridge Fund,16,BLUSA5,7761.0,55.7657,67.3708,90067.01,-39998.23,50068.78
5,Northbridge Fund,15,SILIN4,1563.0,340.888,367.2083,41138.58,8916.56,50055.14
10,Harborview Holdings,17,AURIN2,3022.0,109.8174,120.9125,33529.4,15938.18,49467.57
12,Camille Costa,24,CYBMA0,541.0,142.6852,225.7051,44913.74,4236.12,49149.86
3,Alice Costa,26,MERIN1,107.0,529.0578,748.737,23505.67,22846.96,46352.63
13,Vantage Capital,20,ATLPA1,1648.0,78.4255,96.8958,30439.1,15410.64,45849.74
6,Diego Larsen,7,QUACA3,174.0,469.9572,709.3516,41654.62,3939.78,45594.4
12,Camille Costa,14,WAVIN2,190.0,329.9387,385.0886,10478.49,34993.91,45472.4
7,Meridian Asset Management,32,DELIN7,1588.0,48.5685,66.6704,28745.83,16278.89,45024.72
7,Meridian Asset Management,17,AURIN2,2229.0,109.5912,120.9125,25235.22,18622.43,43857.66
14,Zoe Costa,6,CYBIN4,394.0,364.1547,437.1502,28760.23,14915.96,43676.19
19,Giulia Garcia,35,REDHO9,390.0,226.7583,335.1019,42254.02,1419.52,43673.54
14,Zoe Costa,24,CYBMA0,375.0,118.6577,225.7051,40142.79,3398.87,43541.65
10,Harborview Holdings,33,RIDPL0,3373.0,32.2135,44.4424,41248.16,2084.83,43332.99
22,Ridgeline Capital,20,ATLPA1,1019.0,80.1346,96.8958,17079.68,26134.77,43214.45
10,Harborview Holdings,16,BLUSA5,4188.0,55.6144,67.3708,49235.68,-6117.09,43118.59
7,Meridian Asset Management,34,NORIN2,1124.0,34.3597,75.7532,46526.34,-3414.67,43111.67
8,Silverline Holdings,9,CYBPA2,4443.0,270.6474,275.0435,19531.73,22986.48,42518.21
22,Ridgeline Capital,34,NORIN2,1145.0,36.188,75.7532,45302.1,-3055.31,42246.8
20,Yasmine Novak,7,QUACA3,120.0,522.8801,709.3516,22376.59,18521.35,40897.93
25,Hugo Kowalski,7,QUACA3,167.0,469.8729,709.3516,39992.95,36.03,40028.98
4,Harborview Partners,9,CYBPA2,1678.0,269.4611,275.0435,9367.35,30636.67,40004.02
5,Northbridge Fund,34,NORIN2,808.0,30.6449,75.7532,36447.53,3488.61,39936.14
8,Silverline Holdings,34,NORIN2,1193.0,36.8634,75.7532,46395.48,-6519.78,39875.7
22,Ridgeline Capital,33,RIDPL0,2777.0,32.5998,44.4424,32886.76,6567.92,39454.68
6,Diego Larsen,26,MERIN1,65.0,342.7776,748.737,26387.36,12808.14,39195.51
25,Hugo Kowalski,35,REDHO9,443.0,249.7932,335.1019,37791.74,559.59,38351.33
18,Brightside Holdings,33,RIDPL0,4057.0,33.9097,44.4424,42731.2,-4396.04,38335.16
4,Harborview Partners,17,AURIN2,2583.0,109.516,120.9125,29437.13,8214.56,37651.7
10,Harborview Holdings,9,CYBPA2,5289.0,274.075,275.0435,5122.66,32378.13,37500.79
1,Thomas Garcia,3,BLUAG3,323.0,166.1468,278.8114,36390.65,494.99,36885.64
12,Camille Costa,18,MERGR5,122.0,334.554,520.1016,22636.81,13917.1,36553.91
4,Harborview Partners,6,CYBIN4,640.0,406.4073,437.1502,19675.47,15874.21,35549.69
18,Brightside Holdings,16,BLUSA5,4272.0,55.5149,67.3708,50648.27,-15145.46,35502.81
11,Harborview Group,17,AURIN2,2408.0,110.1553,120.9125,25903.24,7862.98,33766.21
22,Ridgeline Capital,17,AURIN2,2555.0,110.2523,120.9125,27236.83,6493.71,33730.54
4,Harborview Partners,20,ATLPA1,1481.0,80.7395,96.8958,23927.43,9755.73,33683.15
7,Meridian Asset Management,20,ATLPA1,624.0,82.3099,96.8958,9101.57,24006.93,33108.5
10,Harborview Holdings,30,WAVHO2,3265.0,101.0296,106.5888,18150.88,13748.57,31899.45
23,Sarah Larsen,14,WAVIN2,197.0,427.8266,385.0886,-8419.39,40209.82,31790.43
17,Zoe Muller,18,MERGR5,214.0,392.2362,520.1016,27363.19,4307.59,31670.79
14,Zoe Costa,26,MERIN1,18.0,495.0282,748.737,4566.76,27084.43,31651.18
22,Ridgeline Capital,21,VERCA7,1611.0,330.2197,372.6011,68276.39,-36768.02,31508.37
17,Zoe Muller,7,QUACA3,187.0,541.6107,709.3516,31367.56,118.57,31486.13
2,Vantage Partners,32,DELIN7,1351.0,56.2908,66.6704,14022.78,17423.1,31445.88
17,Zoe Muller,3,BLUAG3,449.0,178.0345,278.8114,45248.85,-14433.15,30815.7
11,Harborview Group,9,CYBPA2,1798.0,271.2124,275.0435,6888.29,23828.76,30717.05
14,Zoe Costa,18,MERGR5,131.0,421.2832,520.1016,12945.21,17715.16,30660.37
8,Silverline Holdings,33,RIDPL0,2687.0,33.6899,44.4424,28892.06,1678.75,30570.81
19,Giulia Garcia,7,QUACA3,192.0,571.0656,709.3516,26550.9,3880.74,30431.64
19,Giulia Garcia,14,WAVIN2,100.0,362.1672,385.0886,2292.14,27618.02,29910.16
1,Thomas Garcia,34,NORIN2,700.0,33.4317,75.7532,29625.07,112.93,29738.01
19,Giulia Garcia,24,CYBMA0,271.0,116.5212,225.7051,29588.84,6.32,29595.16
23,Sarah Larsen,35,REDHO9,251.0,254.8415,335.1019,20145.37,9226.63,29372.0
25,Hugo Kowalski,3,BLUAG3,329.0,194.283,278.8114,27809.85,1441.35,29251.2
22,Ridgeline Capital,32,DELIN7,2687.0,57.527,66.6704,24568.24,4616.8,29185.04
13,Vantage Capital,15,SILIN4,490.0,335.8574,367.2083,15361.93,13738.22,29100.14
10,Harborview Holdings,32,DELIN7,3248.0,59.3883,66.6704,23652.15,5329.47,28981.61
18,Brightside Holdings,30,WAVHO2,2610.0,99.8887,106.5888,17487.19,11376.8,28864.0
8,Silverline Holdings,16,BLUSA5,4026.0,56.653,67.3708,43149.68,-14301.39,28848.29
11,Harborview Group,16,BLUSA5,2606.0,55.2109,67.3708,31688.74,-3286.12,28402.62
6,Diego Larsen,35,REDHO9,297.0,248.2302,335.1019,25800.9,2564.87,28365.77
5,Northbridge Fund,17,AURIN2,2154.0,108.7482,120.9125,26201.85,1758.95,27960.8
11,Harborview Group,33,RIDPL0,2126.0,32.4059,44.4424,25589.66,2096.09,27685.75
1,Thomas Garcia,4,AMBPL4,805.0,87.8945,118.7762,24859.74,2761.91,27621.64
13,Vantage Capital,17,AURIN2,1284.0,109.1297,120.9125,15129.13,12463.78,27592.91
5,Northbridge Fund,35,REDHO9,0.0,,,0.0,27380.35,27380.35
24,Anchor Fund,30,WAVHO2,3204.0,101.1902,106.5888,17297.15,9997.5,27294.66
16,Alice Silva,20,ATLPA1,1068.0,80.1491,96.8958,17885.5,9260.34,27145.84
23,Sarah Larsen,6,CYBIN4,156.0,399.2945,437.1502,5905.48,21200.9,27106.38
20,Yasmine Novak,18,MERGR5,119.0,400.1281,520.1016,14276.85,11942.17,26219.02
5,Northbridge Fund,19,ORBTE0,451.0,62.6687,122.521,26993.4,-813.94,26179.46
1,Thomas Garcia,23,SILIN3,242.0,117.3192,209.053,22199.58,3636.92,25836.5
16,Alice Silva,18,MERGR5,130.0,426.7014,520.1016,12142.03,13563.42,25705.45
4,Harborview Partners,25,FALTE3,1065.0,96.7259,131.4268,36956.51,-11901.58,25054.92
22,Ridgeline Capital,16,BLUSA5,2099.0,53.4216,67.3708,29279.28,-4438.72,24840.56
14,Zoe Costa,3,BLUAG3,166.0,184.2008,278.8114,15705.37,9055.56,24760.93
21,Antoine Martin,7,QUACA3,71.0,409.6769,709.3516,21276.91,3252.68,24529.58
1,Thomas Garcia,18,MERGR5,161.0,423.1589,520.1016,15607.77,8166.39,23774.16
2,Vantage Partners,15,SILIN4,902.0,351.2222,367.2083,14419.5,8697.45,23116.96
7,Meridian Asset Management,30,WAVHO2,1915.0,98.6562,106.5888,15190.91,7877.48,23068.39
25,Hugo Kowalski,23,SILIN3,213.0,131.3338,209.053,16554.19,6372.56,22926.74
8,Silverline Holdings,30,WAVHO2,1785.0,99.5123,106.5888,12631.63,10092.88,22724.51
14,Zoe Costa,14,WAVIN2,390.0,343.0821,385.0886,16382.52,6298.84,22681.35
13,Vantage Capital,30,WAVHO2,2544.0,99.3232,106.5888,18483.71,4011.11,22494.83
24,Anchor Fund,33,RIDPL0,1461.0,34.1803,44.4424,14992.99,7487.05,22480.04
16,Alice Silva,35,REDHO9,214.0,231.0346,335.1019,22270.4,62.43,22332.84
